"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 26 00:39:52 UTC 2026","Thu Mar 26 00:39:55 UTC 2026","3085","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"passed","Thu Mar 26 00:40:33 UTC 2026","Thu Mar 26 00:40:48 UTC 2026","14943","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"passed","Thu Mar 26 00:41:57 UTC 2026","Thu Mar 26 00:43:48 UTC 2026","110378","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"passed","Thu Mar 26 00:39:55 UTC 2026","Thu Mar 26 00:40:02 UTC 2026","6576","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"failed","Thu Mar 26 00:40:53 UTC 2026","Thu Mar 26 00:41:30 UTC 2026","36252","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"passed","Thu Mar 26 00:40:09 UTC 2026","Thu Mar 26 00:40:28 UTC 2026","19265","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"passed","Thu Mar 26 00:41:34 UTC 2026","Thu Mar 26 00:41:53 UTC 2026","18274","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
