"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 15 00:39:00 UTC 2026","Sun Feb 15 00:39:07 UTC 2026","7046","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"passed","Sun Feb 15 00:39:53 UTC 2026","Sun Feb 15 00:40:59 UTC 2026","65857","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"passed","Sun Feb 15 00:38:27 UTC 2026","Sun Feb 15 00:38:30 UTC 2026","2794","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"passed","Sun Feb 15 00:38:30 UTC 2026","Sun Feb 15 00:38:37 UTC 2026","6904","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"passed","Sun Feb 15 00:39:38 UTC 2026","Sun Feb 15 00:39:48 UTC 2026","9721","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"passed","Sun Feb 15 00:39:12 UTC 2026","Sun Feb 15 00:39:33 UTC 2026","21271","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"passed","Sun Feb 15 00:38:45 UTC 2026","Sun Feb 15 00:38:56 UTC 2026","10843","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
