"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 01 00:57:03 UTC 2026","Fri May 01 00:57:03 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Fri May 01 00:56:32 UTC 2026","Fri May 01 00:56:32 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Fri May 01 00:57:33 UTC 2026","Fri May 01 00:57:33 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Fri May 01 00:55:32 UTC 2026","Fri May 01 00:56:02 UTC 2026","30003","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Fri May 01 00:56:02 UTC 2026","Fri May 01 00:56:02 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Fri May 01 00:58:03 UTC 2026","Fri May 01 00:58:03 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"broken","Fri May 01 00:55:02 UTC 2026","Fri May 01 00:55:32 UTC 2026","30006","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
