"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 09 00:36:19 UTC 2026","Mon Mar 09 00:36:26 UTC 2026","6678","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"passed","Mon Mar 09 00:37:22 UTC 2026","Mon Mar 09 00:37:49 UTC 2026","27830","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"passed","Mon Mar 09 00:36:16 UTC 2026","Mon Mar 09 00:36:19 UTC 2026","3077","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"passed","Mon Mar 09 00:38:09 UTC 2026","Mon Mar 09 00:39:18 UTC 2026","68564","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"passed","Mon Mar 09 00:36:39 UTC 2026","Mon Mar 09 00:37:00 UTC 2026","21118","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"passed","Mon Mar 09 00:37:05 UTC 2026","Mon Mar 09 00:37:17 UTC 2026","11548","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"passed","Mon Mar 09 00:37:54 UTC 2026","Mon Mar 09 00:38:04 UTC 2026","10175","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
