"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 13 00:43:38 UTC 2026","Mon Jul 13 00:44:08 UTC 2026","30005","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Mon Jul 13 00:46:39 UTC 2026","Mon Jul 13 00:46:39 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"broken","Mon Jul 13 00:44:38 UTC 2026","Mon Jul 13 00:44:38 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Mon Jul 13 00:45:39 UTC 2026","Mon Jul 13 00:45:39 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Mon Jul 13 00:44:08 UTC 2026","Mon Jul 13 00:44:38 UTC 2026","30004","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Mon Jul 13 00:45:09 UTC 2026","Mon Jul 13 00:45:09 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Mon Jul 13 00:46:09 UTC 2026","Mon Jul 13 00:46:09 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
