"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 28 00:43:33 UTC 2026","Tue Jul 28 00:43:33 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Tue Jul 28 00:41:32 UTC 2026","Tue Jul 28 00:42:02 UTC 2026","30004","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Tue Jul 28 00:43:03 UTC 2026","Tue Jul 28 00:43:03 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Tue Jul 28 00:42:03 UTC 2026","Tue Jul 28 00:42:33 UTC 2026","30004","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Tue Jul 28 00:44:04 UTC 2026","Tue Jul 28 00:44:04 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Tue Jul 28 00:42:33 UTC 2026","Tue Jul 28 00:42:33 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Tue Jul 28 00:44:34 UTC 2026","Tue Jul 28 00:44:34 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
