"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 06 00:39:21 UTC 2026","Thu Aug 06 00:39:21 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Thu Aug 06 00:39:51 UTC 2026","Thu Aug 06 00:39:51 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"broken","Thu Aug 06 00:37:20 UTC 2026","Thu Aug 06 00:37:50 UTC 2026","30003","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Thu Aug 06 00:38:51 UTC 2026","Thu Aug 06 00:38:51 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Thu Aug 06 00:37:50 UTC 2026","Thu Aug 06 00:37:50 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Thu Aug 06 00:36:50 UTC 2026","Thu Aug 06 00:37:20 UTC 2026","30003","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Thu Aug 06 00:38:21 UTC 2026","Thu Aug 06 00:38:21 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
