"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 11 00:40:27 UTC 2026","Sat Jul 11 00:40:57 UTC 2026","30004","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Sat Jul 11 00:40:57 UTC 2026","Sat Jul 11 00:40:57 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Sat Jul 11 00:41:27 UTC 2026","Sat Jul 11 00:41:27 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Sat Jul 11 00:42:58 UTC 2026","Sat Jul 11 00:42:58 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"broken","Sat Jul 11 00:42:28 UTC 2026","Sat Jul 11 00:42:28 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Sat Jul 11 00:41:57 UTC 2026","Sat Jul 11 00:41:57 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Sat Jul 11 00:39:56 UTC 2026","Sat Jul 11 00:40:26 UTC 2026","30002","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
