"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 04 18:48:07 UTC 2026","Wed Feb 04 18:48:27 UTC 2026","20003","tests.ui.tests","test_port_setup","","","","test_optimization_result_page","Verify Optimization Result page is loaded after Port Setup changes."
"passed","Wed Feb 04 18:47:07 UTC 2026","Wed Feb 04 18:47:10 UTC 2026","2707","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"passed","Wed Feb 04 18:47:12 UTC 2026","Wed Feb 04 18:47:20 UTC 2026","7466","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page","Check that Port Setup page elements are visible after login."
"broken","Wed Feb 04 18:47:20 UTC 2026","Wed Feb 04 18:47:50 UTC 2026","30002","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"passed","Wed Feb 04 18:47:50 UTC 2026","Wed Feb 04 18:48:05 UTC 2026","14675","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields","Test updating Cost: Storage, Cost: Handling, Empty Available fields."
"failed","Wed Feb 04 18:48:47 UTC 2026","Wed Feb 04 18:48:57 UTC 2026","10001","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle","Cycle through all roles and toggle states with clear assertion messages."
"passed","Wed Feb 04 18:48:05 UTC 2026","Wed Feb 04 18:48:07 UTC 2026","2040","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"failed","Wed Feb 04 18:48:27 UTC 2026","Wed Feb 04 18:48:47 UTC 2026","20002","tests.ui.tests","test_port_setup","","","","test_cancel_button","Check that Cancel button discards changes and original values remain."
