"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun May 03 00:54:32 UTC 2026","Sun May 03 00:54:32 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Sun May 03 00:54:02 UTC 2026","Sun May 03 00:54:32 UTC 2026","30002","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Sun May 03 00:56:03 UTC 2026","Sun May 03 00:56:03 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Sun May 03 00:55:32 UTC 2026","Sun May 03 00:55:32 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Sun May 03 00:53:31 UTC 2026","Sun May 03 00:54:01 UTC 2026","30003","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Sun May 03 00:55:02 UTC 2026","Sun May 03 00:55:02 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Sun May 03 00:56:33 UTC 2026","Sun May 03 00:56:33 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
