"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 11 00:56:53 UTC 2026","Mon May 11 00:56:53 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Mon May 11 00:55:52 UTC 2026","Mon May 11 00:55:52 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Mon May 11 00:55:22 UTC 2026","Mon May 11 00:55:52 UTC 2026","30003","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Mon May 11 00:54:52 UTC 2026","Mon May 11 00:55:22 UTC 2026","30004","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Mon May 11 00:56:23 UTC 2026","Mon May 11 00:56:23 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Mon May 11 00:57:23 UTC 2026","Mon May 11 00:57:23 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Mon May 11 00:57:53 UTC 2026","Mon May 11 00:57:53 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
