"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 15 00:54:08 UTC 2026","Fri May 15 00:54:38 UTC 2026","30002","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Fri May 15 00:55:09 UTC 2026","Fri May 15 00:55:09 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Fri May 15 00:53:38 UTC 2026","Fri May 15 00:54:08 UTC 2026","30005","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Fri May 15 00:55:39 UTC 2026","Fri May 15 00:55:39 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Fri May 15 00:56:09 UTC 2026","Fri May 15 00:56:09 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Fri May 15 00:54:38 UTC 2026","Fri May 15 00:54:38 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Fri May 15 00:56:39 UTC 2026","Fri May 15 00:56:39 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
