"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Feb 04 11:34:46 UTC 2026","Wed Feb 04 11:34:46 UTC 2026","424","tests.ui.tests","test_login","","","","test_valid_login","User can log in successfully and see expected elements."
"failed","Wed Feb 04 11:34:46 UTC 2026","Wed Feb 04 11:34:51 UTC 2026","5003","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields","Test updating Cost: Storage, Cost: Handling, Empty Available fields."
"broken","Wed Feb 04 11:35:31 UTC 2026","Wed Feb 04 11:36:01 UTC 2026","30002","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle","Cycle through all roles and toggle states with clear assertion messages."
"failed","Wed Feb 04 11:35:26 UTC 2026","Wed Feb 04 11:35:31 UTC 2026","5002","tests.ui.tests","test_port_setup","","","","test_cancel_button","Check that Cancel button discards changes and original values remain."
"passed","Wed Feb 04 11:34:43 UTC 2026","Wed Feb 04 11:34:45 UTC 2026","2338","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Wed Feb 04 11:34:45 UTC 2026","Wed Feb 04 11:34:45 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page","Check that Port Setup page elements are visible after login."
"broken","Wed Feb 04 11:34:51 UTC 2026","Wed Feb 04 11:35:21 UTC 2026","30002","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"failed","Wed Feb 04 11:35:21 UTC 2026","Wed Feb 04 11:35:26 UTC 2026","5002","tests.ui.tests","test_port_setup","","","","test_optimization_result_page","Verify Optimization Result page is loaded after Port Setup changes."
