"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 20 00:59:35 UTC 2026","Wed May 20 01:00:05 UTC 2026","30004","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Wed May 20 01:00:36 UTC 2026","Wed May 20 01:00:36 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Wed May 20 01:00:05 UTC 2026","Wed May 20 01:00:35 UTC 2026","30001","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Wed May 20 01:01:36 UTC 2026","Wed May 20 01:01:36 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Wed May 20 01:02:37 UTC 2026","Wed May 20 01:02:37 UTC 2026","1","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"broken","Wed May 20 01:01:06 UTC 2026","Wed May 20 01:01:06 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Wed May 20 01:02:07 UTC 2026","Wed May 20 01:02:07 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
