"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Feb 03 16:58:17 UTC 2026","Tue Feb 03 16:58:18 UTC 2026","516","tests.ui.tests","test_login","","","","test_valid_login","User can log in successfully and see expected elements."
"broken","Tue Feb 03 16:59:03 UTC 2026","Tue Feb 03 16:59:33 UTC 2026","30003","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle","Cycle through all roles and toggle states with clear assertion messages."
"passed","Tue Feb 03 16:58:14 UTC 2026","Tue Feb 03 16:58:17 UTC 2026","2785","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"failed","Tue Feb 03 16:58:58 UTC 2026","Tue Feb 03 16:59:03 UTC 2026","5002","tests.ui.tests","test_port_setup","","","","test_cancel_button","Check that Cancel button discards changes and original values remain."
"failed","Tue Feb 03 16:58:53 UTC 2026","Tue Feb 03 16:58:58 UTC 2026","5001","tests.ui.tests","test_port_setup","","","","test_optimization_result_page","Verify Optimization Result page is loaded after Port Setup changes."
"broken","Tue Feb 03 16:58:23 UTC 2026","Tue Feb 03 16:58:53 UTC 2026","30003","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"failed","Tue Feb 03 16:58:18 UTC 2026","Tue Feb 03 16:58:23 UTC 2026","5002","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields","Test updating Cost: Storage, Cost: Handling, Empty Available fields."
"broken","Tue Feb 03 16:58:17 UTC 2026","Tue Feb 03 16:58:17 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page","Check that Port Setup page elements are visible after login."
