"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 03 00:36:30 UTC 2026","Tue Mar 03 00:36:33 UTC 2026","3198","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"passed","Tue Mar 03 00:37:03 UTC 2026","Tue Mar 03 00:37:24 UTC 2026","21188","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"failed","Tue Mar 03 00:36:41 UTC 2026","Tue Mar 03 00:36:41 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"passed","Tue Mar 03 00:38:10 UTC 2026","Tue Mar 03 00:38:20 UTC 2026","10796","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"passed","Tue Mar 03 00:38:25 UTC 2026","Tue Mar 03 00:39:35 UTC 2026","69394","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"passed","Tue Mar 03 00:37:29 UTC 2026","Tue Mar 03 00:38:05 UTC 2026","36065","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"passed","Tue Mar 03 00:36:34 UTC 2026","Tue Mar 03 00:36:41 UTC 2026","7139","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
