"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 04 13:39:47 UTC 2026","Wed Feb 04 13:39:49 UTC 2026","2237","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"passed","Wed Feb 04 13:41:01 UTC 2026","Wed Feb 04 13:41:03 UTC 2026","1898","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"failed","Wed Feb 04 13:41:08 UTC 2026","Wed Feb 04 13:41:13 UTC 2026","5002","tests.ui.tests","test_port_setup","","","","test_cancel_button","Check that Cancel button discards changes and original values remain."
"broken","Wed Feb 04 13:39:59 UTC 2026","Wed Feb 04 13:40:30 UTC 2026","31259","tests.ui.tests","test_login","","","","test_valid_login","User can log in successfully and see expected elements."
"broken","Wed Feb 04 13:40:30 UTC 2026","Wed Feb 04 13:41:01 UTC 2026","30147","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields","Test updating Cost: Storage, Cost: Handling, Empty Available fields."
"broken","Wed Feb 04 13:41:13 UTC 2026","Wed Feb 04 13:41:43 UTC 2026","30002","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle","Cycle through all roles and toggle states with clear assertion messages."
"failed","Wed Feb 04 13:41:03 UTC 2026","Wed Feb 04 13:41:08 UTC 2026","5002","tests.ui.tests","test_port_setup","","","","test_optimization_result_page","Verify Optimization Result page is loaded after Port Setup changes."
"passed","Wed Feb 04 13:39:52 UTC 2026","Wed Feb 04 13:39:59 UTC 2026","6975","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page","Check that Port Setup page elements are visible after login."
