"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 14 00:38:33 UTC 2026","Tue Jul 14 00:39:03 UTC 2026","30002","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Tue Jul 14 00:40:04 UTC 2026","Tue Jul 14 00:40:04 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Tue Jul 14 00:39:33 UTC 2026","Tue Jul 14 00:39:33 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Tue Jul 14 00:39:03 UTC 2026","Tue Jul 14 00:39:03 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Tue Jul 14 00:38:03 UTC 2026","Tue Jul 14 00:38:33 UTC 2026","30003","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Tue Jul 14 00:40:34 UTC 2026","Tue Jul 14 00:40:34 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Tue Jul 14 00:41:04 UTC 2026","Tue Jul 14 00:41:04 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
