"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 28 00:32:54 UTC 2026","Sat Feb 28 00:33:04 UTC 2026","10260","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"passed","Sat Feb 28 00:31:39 UTC 2026","Sat Feb 28 00:31:46 UTC 2026","6983","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"passed","Sat Feb 28 00:33:09 UTC 2026","Sat Feb 28 00:34:15 UTC 2026","66586","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"passed","Sat Feb 28 00:31:36 UTC 2026","Sat Feb 28 00:31:39 UTC 2026","3190","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"passed","Sat Feb 28 00:32:25 UTC 2026","Sat Feb 28 00:32:49 UTC 2026","24424","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"passed","Sat Feb 28 00:32:12 UTC 2026","Sat Feb 28 00:32:20 UTC 2026","7687","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"passed","Sat Feb 28 00:31:55 UTC 2026","Sat Feb 28 00:32:07 UTC 2026","11993","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
