"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 23 00:39:48 UTC 2026","Mon Mar 23 00:39:51 UTC 2026","2737","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"passed","Mon Mar 23 00:40:19 UTC 2026","Mon Mar 23 00:40:24 UTC 2026","5874","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"passed","Mon Mar 23 00:39:51 UTC 2026","Mon Mar 23 00:39:58 UTC 2026","6213","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"passed","Mon Mar 23 00:40:54 UTC 2026","Mon Mar 23 00:41:03 UTC 2026","9007","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"passed","Mon Mar 23 00:41:08 UTC 2026","Mon Mar 23 00:42:07 UTC 2026","59759","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"passed","Mon Mar 23 00:40:29 UTC 2026","Mon Mar 23 00:40:50 UTC 2026","21024","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"passed","Mon Mar 23 00:40:04 UTC 2026","Mon Mar 23 00:40:14 UTC 2026","9782","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
