"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 10 01:06:13 UTC 2026","Wed Jun 10 01:06:13 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Wed Jun 10 01:05:43 UTC 2026","Wed Jun 10 01:05:43 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Wed Jun 10 01:04:42 UTC 2026","Wed Jun 10 01:05:12 UTC 2026","30003","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Wed Jun 10 01:07:13 UTC 2026","Wed Jun 10 01:07:13 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"broken","Wed Jun 10 01:06:43 UTC 2026","Wed Jun 10 01:06:43 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Wed Jun 10 01:05:12 UTC 2026","Wed Jun 10 01:05:12 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Wed Jun 10 01:04:12 UTC 2026","Wed Jun 10 01:04:42 UTC 2026","30003","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
