"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jun 27 00:59:50 UTC 2026","Sat Jun 27 00:59:50 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Sat Jun 27 00:57:49 UTC 2026","Sat Jun 27 00:58:19 UTC 2026","30007","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Sat Jun 27 00:58:19 UTC 2026","Sat Jun 27 00:58:49 UTC 2026","30004","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Sat Jun 27 01:00:20 UTC 2026","Sat Jun 27 01:00:20 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Sat Jun 27 00:58:49 UTC 2026","Sat Jun 27 00:58:49 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Sat Jun 27 01:00:50 UTC 2026","Sat Jun 27 01:00:50 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"broken","Sat Jun 27 00:59:19 UTC 2026","Sat Jun 27 00:59:19 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
