"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 02 00:44:35 UTC 2026","Sun Aug 02 00:45:05 UTC 2026","30003","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Sun Aug 02 00:47:06 UTC 2026","Sun Aug 02 00:47:06 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"broken","Sun Aug 02 00:45:36 UTC 2026","Sun Aug 02 00:45:36 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Sun Aug 02 00:46:06 UTC 2026","Sun Aug 02 00:46:06 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Sun Aug 02 00:46:36 UTC 2026","Sun Aug 02 00:46:36 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Sun Aug 02 00:44:05 UTC 2026","Sun Aug 02 00:44:35 UTC 2026","30013","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Sun Aug 02 00:45:05 UTC 2026","Sun Aug 02 00:45:05 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
