"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 31 00:44:51 UTC 2026","Mon Aug 31 00:44:51 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Mon Aug 31 00:42:50 UTC 2026","Mon Aug 31 00:43:20 UTC 2026","30005","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Mon Aug 31 00:43:51 UTC 2026","Mon Aug 31 00:43:51 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Mon Aug 31 00:45:22 UTC 2026","Mon Aug 31 00:45:22 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Mon Aug 31 00:43:20 UTC 2026","Mon Aug 31 00:43:50 UTC 2026","30005","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Mon Aug 31 00:44:21 UTC 2026","Mon Aug 31 00:44:21 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Mon Aug 31 00:45:52 UTC 2026","Mon Aug 31 00:45:52 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
