"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 11 00:42:45 UTC 2026","Wed Feb 11 00:43:51 UTC 2026","66048","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"passed","Wed Feb 11 00:42:06 UTC 2026","Wed Feb 11 00:42:27 UTC 2026","21059","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"passed","Wed Feb 11 00:42:31 UTC 2026","Wed Feb 11 00:42:41 UTC 2026","9531","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"passed","Wed Feb 11 00:41:21 UTC 2026","Wed Feb 11 00:41:24 UTC 2026","2923","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"passed","Wed Feb 11 00:41:54 UTC 2026","Wed Feb 11 00:42:01 UTC 2026","6971","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"passed","Wed Feb 11 00:41:24 UTC 2026","Wed Feb 11 00:41:31 UTC 2026","6401","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"passed","Wed Feb 11 00:41:39 UTC 2026","Wed Feb 11 00:41:50 UTC 2026","11267","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
