"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 31 00:45:36 UTC 2026","Fri Jul 31 00:45:36 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"broken","Fri Jul 31 00:43:35 UTC 2026","Fri Jul 31 00:44:05 UTC 2026","30003","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Fri Jul 31 00:46:06 UTC 2026","Fri Jul 31 00:46:06 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"broken","Fri Jul 31 00:44:35 UTC 2026","Fri Jul 31 00:44:35 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Fri Jul 31 00:45:05 UTC 2026","Fri Jul 31 00:45:05 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Fri Jul 31 00:44:05 UTC 2026","Fri Jul 31 00:44:05 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Fri Jul 31 00:43:04 UTC 2026","Fri Jul 31 00:43:34 UTC 2026","30005","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
