"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 12 00:30:52 UTC 2026","Thu Mar 12 00:30:59 UTC 2026","6707","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"passed","Thu Mar 12 00:30:49 UTC 2026","Thu Mar 12 00:30:52 UTC 2026","2717","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"passed","Thu Mar 12 00:32:01 UTC 2026","Thu Mar 12 00:32:10 UTC 2026","9625","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
"passed","Thu Mar 12 00:31:34 UTC 2026","Thu Mar 12 00:31:56 UTC 2026","22324","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"passed","Thu Mar 12 00:31:07 UTC 2026","Thu Mar 12 00:31:19 UTC 2026","11636","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"passed","Thu Mar 12 00:31:23 UTC 2026","Thu Mar 12 00:31:30 UTC 2026","7017","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"passed","Thu Mar 12 00:32:14 UTC 2026","Thu Mar 12 00:33:21 UTC 2026","66497","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
