"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 12 00:31:52 UTC 2026","Wed Aug 12 00:31:52 UTC 2026","1","tests.ui.tests","test_port_setup","","","","test_change_all_roles_and_toggle",""
"broken","Wed Aug 12 00:30:51 UTC 2026","Wed Aug 12 00:30:51 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_update_numeric_fields",""
"broken","Wed Aug 12 00:29:51 UTC 2026","Wed Aug 12 00:29:51 UTC 2026","0","tests.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Wed Aug 12 00:30:21 UTC 2026","Wed Aug 12 00:30:21 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_open_port_setup_page",""
"broken","Wed Aug 12 00:28:50 UTC 2026","Wed Aug 12 00:29:20 UTC 2026","30004","tests.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Wed Aug 12 00:29:20 UTC 2026","Wed Aug 12 00:29:50 UTC 2026","30004","tests.ui.tests","test_login","","","","test_login","User can log in successfully and see expected elements."
"broken","Wed Aug 12 00:31:22 UTC 2026","Wed Aug 12 00:31:22 UTC 2026","0","tests.ui.tests","test_port_setup","","","","test_cancel_button",""
